roi_index	roi_name	kept	mu_non	sd_non	mu_path	sd_path
75	tau.SUVR.Schaefer200.ROI.idx.75	1	1.152219152371069	0.11180758176764728	1.7139539688425343	0.5908578737195297
76	tau.SUVR.Schaefer200.ROI.idx.76	1	1.1015419774856907	0.09830124665107326	1.5167138730857792	0.40097745708133276
77	tau.SUVR.Schaefer200.ROI.idx.77	1	1.1951315627695072	0.099347697655815	1.794708624625318	0.5304563234205075
78	tau.SUVR.Schaefer200.ROI.idx.78	1	1.149875577676711	0.10972570820673799	1.7151933436387465	0.4647989142788901
79	tau.SUVR.Schaefer200.ROI.idx.79	1	1.1676349135203339	0.10538604398863342	1.7496897462450385	0.5079573727945965
80	tau.SUVR.Schaefer200.ROI.idx.80	1	1.157909805309234	0.1166859612002819	1.5309251986451287	0.6092940828670234
81	tau.SUVR.Schaefer200.ROI.idx.81	1	1.0932300261675885	0.114172402357582	1.670588220891294	0.37280804762819836
82	tau.SUVR.Schaefer200.ROI.idx.82	1	1.1481453138558344	0.11363875066927788	1.710904260721245	0.46951066491439725
83	tau.SUVR.Schaefer200.ROI.idx.83	1	1.2189890925696634	0.13629799124297765	1.7637501347803093	0.5221948806175452
84	tau.SUVR.Schaefer200.ROI.idx.84	1	1.2227932053037023	0.10538993542775527	1.826304761883777	0.5676232163530478
